age,country,self_employed,benefits,mental_health_consequence,phys_health_consequence
39,United Kingdom,No,Not eligible for coverage / N/A,No,No
29,United States,No,No,No,No
38,United Kingdom,No,No,Maybe,No
43,United Kingdom,Yes,,,
43,United States,No,Yes,Yes,Maybe
42,United Kingdom,No,Yes,Yes,Yes
30,United States,No,I don't know,No,No
37,United States,No,Yes,No,No
44,United States,No,I don't know,Yes,Yes
30,United States,Yes,,,
28,United States,No,Yes,No,No
34,United States,No,Yes,Yes,No
30,United States,No,Yes,No,No
44,Canada,No,Yes,No,No
35,United States,No,Yes,No,No
52,United States,No,I don't know,Maybe,Maybe
32,Canada,No,Not eligible for coverage / N/A,Maybe,No
34,United Kingdom,No,No,Maybe,No
25,United States,Yes,,,
31,United States,No,I don't know,Yes,No
26,United States,No,No,No,No
35,United States,No,Yes,No,No
25,Germany,No,Yes,Maybe,Maybe
33,Canada,No,Yes,Maybe,No
38,United States,Yes,,,
42,Germany,No,Yes,No,No
27,Netherlands,No,No,Yes,Yes
35,Germany,No,I don't know,No,No
34,United Kingdom,No,I don't know,Maybe,No
32,United Kingdom,No,Not eligible for coverage / N/A,No,No
32,Germany,No,Not eligible for coverage / N/A,Maybe,No
30,United States,No,Yes,No,No
31,United States,No,I don't know,Maybe,No
37,Czech Republic,Yes,,,
36,United Kingdom,No,Yes,No,No
33,Germany,No,No,Maybe,No
44,United States,No,Yes,No,No
29,United Kingdom,No,No,No,No
29,United Kingdom,No,No,No,No
44,Canada,No,Yes,Maybe,No
34,United States,Yes,,,
40,United States,No,Yes,No,No
46,Netherlands,No,Yes,Yes,Maybe
28,Lithuania,Yes,,,
41,United States,No,No,Maybe,No
33,United States,No,Yes,Maybe,Maybe
32,United States,Yes,,,
45,United States,No,I don't know,Maybe,No
43,United Kingdom,Yes,,,
37,United States,No,Yes,No,No
37,Australia,No,No,Maybe,Maybe
27,United States,No,Yes,Maybe,Maybe
31,Netherlands,Yes,,,
36,United States,No,Yes,Maybe,Maybe
34,United States,No,Yes,Maybe,No
31,United States,No,Yes,Maybe,Maybe
30,United States,No,Yes,No,No
32,Canada,No,Yes,Maybe,No
40,United States,No,Yes,No,No
40,United States,No,I don't know,Maybe,No
41,France,No,Yes,No,No
27,United Kingdom,No,Not eligible for coverage / N/A,Yes,No
30,United States,No,Yes,No,No
29,Venezuela,Yes,,,
38,United Kingdom,Yes,,,
35,Netherlands,Yes,,,
35,United States,No,No,Maybe,No
29,United States,No,Yes,Maybe,Maybe
28,United States,No,Yes,Maybe,Maybe
27,Netherlands,No,No,No,No
39,Poland,Yes,,,
28,Belgium,No,Yes,No,No
46,United States,No,I don't know,Yes,Maybe
40,Netherlands,No,No,No,No
37,United States,No,Yes,No,No
41,Netherlands,No,No,No,No
19,France,Yes,,,
38,Netherlands,No,I don't know,No,No
33,United States,No,I don't know,Maybe,No
33,United States,No,Yes,No,No
21,United Kingdom,No,Yes,No,No
36,Brazil,No,No,Maybe,Maybe
39,Canada,Yes,,,
35,United States,No,I don't know,No,No
36,France,Yes,,,
45,United States,No,Yes,Maybe,No
41,Canada,No,I don't know,Maybe,No
35,United Kingdom,No,I don't know,Maybe,No
30,United States,Yes,,,
24,United States,No,I don't know,No,No
33,Brazil,No,No,Maybe,No
35,United States,No,Yes,Maybe,Maybe
26,United Kingdom,No,No,No,No
17,Brazil,No,No,Yes,No
29,United States,No,I don't know,No,No
26,United States,No,Yes,No,No
36,United States,No,I don't know,No,No
46,United States,No,I don't know,No,No
39,Netherlands,Yes,,,
28,United States,No,Yes,Maybe,No
40,United States,No,Yes,Maybe,No
23,United States,No,I don't know,Yes,No
30,United States,No,I don't know,No,No
28,United States,No,I don't know,Maybe,Maybe
27,Netherlands,No,No,Yes,No
31,United States,Yes,,,
39,United States,No,Yes,Maybe,No
34,United States,No,Yes,Maybe,Maybe
30,United States,No,Yes,No,No
30,Denmark,Yes,,,
31,United States,No,I don't know,No,No
30,United States,No,Yes,No,No
32,United States,No,Yes,Yes,No
22,Czech Republic,Yes,,,
37,Belgium,Yes,,,
51,United States,No,Yes,Maybe,Maybe
26,United States,No,I don't know,No,No
41,United States,No,Yes,No,No
39,United States,No,I don't know,No,No
43,United States,No,Yes,Maybe,No
30,United Kingdom,No,I don't know,No,No
24,United States,No,Yes,No,No
30,Netherlands,Yes,,,
28,Germany,No,No,Yes,Maybe
48,United States,Yes,,,
55,United States,Yes,,,
36,United States,No,I don't know,Yes,Maybe
38,Netherlands,Yes,,,
34,France,No,I don't know,Maybe,Maybe
44,United States,No,Yes,Maybe,No
45,United States,No,I don't know,Maybe,Maybe
45,United States,No,Yes,Yes,Maybe
30,United States,No,No,Yes,No
34,United States,No,Yes,Maybe,No
37,United States,No,I don't know,No,No
38,United States,No,Yes,Maybe,No
31,United States,No,Yes,No,No
33,United States,No,I don't know,No,No
29,United States,No,Yes,Yes,No
35,United States,No,Yes,No,No
42,Canada,No,No,Maybe,Maybe
26,United States,No,I don't know,Yes,Maybe
36,United States,No,Yes,Maybe,No
21,United Kingdom,No,I don't know,Maybe,Maybe
34,United States,No,Yes,Maybe,No
40,Germany,Yes,,,
35,United States,No,Yes,Yes,Maybe
44,United States,No,Yes,No,No
35,Canada,No,I don't know,No,No
45,United States,No,No,Yes,Maybe
42,United States,No,Yes,No,No
40,United States,Yes,,,
50,United States,Yes,,,
36,United States,No,Yes,Maybe,No
31,United States,Yes,,,
29,United States,No,I don't know,No,No
37,United States,No,Yes,Maybe,Maybe
31,United States,No,No,Yes,Maybe
42,Canada,No,I don't know,Yes,Maybe
25,United States,No,Yes,Maybe,Maybe
27,United States,No,Yes,No,No
41,United States,No,Yes,Maybe,Maybe
41,United States,No,Yes,Maybe,No
55,United States,No,Yes,Yes,Maybe
21,United States,No,Yes,Maybe,No
37,Netherlands,No,I don't know,Maybe,Maybe
34,Netherlands,No,I don't know,Maybe,Maybe
40,United Kingdom,No,Yes,Maybe,No
25,Netherlands,Yes,,,
36,Germany,No,Yes,Maybe,No
25,Germany,No,No,Maybe,Maybe
35,United States,No,I don't know,Maybe,No
37,United States,No,No,Maybe,Maybe
45,United States,No,Yes,Maybe,Maybe
26,United States,No,No,Maybe,Maybe
23,United States,No,Yes,Maybe,Maybe
22,United States,No,Yes,Maybe,No
46,United States,No,I don't know,No,No
31,United Kingdom,No,No,No,No
27,United States,No,Yes,No,No
37,United Kingdom,No,No,No,No
37,United Kingdom,No,I don't know,Maybe,Maybe
26,Netherlands,No,Not eligible for coverage / N/A,No,No
23,Netherlands,No,No,No,No
40,United States,No,Yes,Maybe,No
29,Denmark,No,No,No,No
37,United States,No,Yes,No,No
34,United States,No,Yes,No,No
40,United States,No,Yes,No,No
39,United States,No,Yes,Maybe,No
28,United States,No,Yes,Maybe,No
28,Belgium,Yes,,,
27,Germany,No,No,No,No
48,United Kingdom,Yes,,,
49,United States,No,Yes,Maybe,Maybe
35,United Kingdom,No,No,Maybe,No
35,Sweden,No,I don't know,Maybe,No
38,United Kingdom,Yes,,,
32,United States,No,Yes,Maybe,No
42,United States,No,Yes,Yes,Maybe
33,United States,No,Yes,Maybe,No
35,United Kingdom,No,I don't know,No,No
24,Russia,No,I don't know,No,No
29,United States,No,Yes,No,No
29,United States,No,I don't know,Maybe,No
24,United Kingdom,No,Not eligible for coverage / N/A,No,No
30,Sweden,No,I don't know,Maybe,No
30,United States,No,I don't know,Maybe,No
44,United States,No,No,Yes,No
37,United Kingdom,No,Yes,No,No
28,Germany,No,No,No,No
42,United States,No,Yes,No,No
30,United Kingdom,No,Yes,Maybe,No
36,Russia,No,I don't know,Maybe,Maybe
30,Russia,No,I don't know,Maybe,Maybe
29,United States,No,I don't know,Maybe,Maybe
25,United States,No,I don't know,Maybe,Maybe
25,Belgium,No,No,No,No
24,Russia,No,I don't know,No,No
25,Russia,No,No,Yes,No
31,Denmark,No,Yes,No,No
37,Canada,No,Yes,Maybe,No
35,United States,No,I don't know,No,No
26,Spain,No,Not eligible for coverage / N/A,Maybe,Maybe
31,United Kingdom,No,Yes,No,No
29,United States,No,Yes,Maybe,No
33,France,No,I don't know,Maybe,Maybe
30,India,No,No,Maybe,No
30,United States,No,Yes,Maybe,No
29,United States,No,Yes,Maybe,Maybe
25,United States,No,I don't know,Maybe,Maybe
27,United States,No,Yes,No,No
26,Germany,No,Yes,No,No
38,United States,No,Yes,No,No
49,United States,No,Yes,Yes,No
30,United States,No,Yes,No,No
34,France,Yes,,,
31,Russia,No,No,Maybe,No
29,United States,Yes,,,
31,Germany,No,No,Maybe,No
34,Germany,No,Not eligible for coverage / N/A,Yes,Maybe
28,United States,No,I don't know,Maybe,No
35,United Kingdom,Yes,,,
27,Germany,No,I don't know,No,No
33,Germany,Yes,,,
37,United States,No,I don't know,Maybe,Maybe
45,United Kingdom,No,Not eligible for coverage / N/A,Yes,No
31,United States,No,No,No,No
36,United States,No,No,Maybe,Maybe
30,United States,No,Yes,Maybe,No
33,United States,No,Yes,Maybe,Maybe
45,Canada,No,Yes,Maybe,No
30,United States,No,Yes,No,No
30,United States,No,Yes,Maybe,Maybe
29,United States,Yes,,,
36,Mexico,No,No,No,No
28,United States,No,Yes,No,No
36,United States,No,Yes,No,No
37,United States,No,Yes,Maybe,No
29,United States,No,Yes,No,No
25,United States,No,Yes,No,No
34,United States,No,Yes,No,No
37,Canada,No,Yes,Maybe,Maybe
40,United States,No,Yes,Maybe,No
32,United States,No,Yes,Yes,Maybe
38,United Kingdom,No,I don't know,Maybe,No
31,United States,No,Yes,Maybe,No
28,United States,No,Yes,No,No
27,United Kingdom,No,No,Yes,Maybe
28,United States,No,Yes,Maybe,No
26,Germany,No,I don't know,No,No
40,United States,No,Yes,No,No
42,United States,No,Yes,No,No
36,United States,No,Yes,No,No
44,United Kingdom,Yes,,,
24,United States,No,Yes,Maybe,Maybe
44,United States,No,I don't know,Yes,Yes
31,United States,No,Yes,No,No
49,United States,Yes,,,
27,United States,No,Yes,Maybe,Maybe
27,United States,No,Yes,No,No
28,United States,No,Yes,No,No
